Content Filters

Pattern,Comment,Inbound Action,Outbound Action,Apply To Subject,Apply To Header,Apply To Body
This is a spam test,UNETEK setup to create quarantine,Quarantine,Quarantine,1,0,0
Message from KMBT_C554,printer,Whitelist,Whitelist,1,0,0
UBMChannel,Spam,Block,Block,1,1,1
ADP Past Due Invoice,Spam,Block,Block,1,0,0
SUCASA-USA,Spam,Block,Block,0,0,1
Employee Documents - Internal Use,SPAM-Rene Auth,Block,Block,1,0,0
hola my photo,Spam Daxx,Block,Block,1,0,0
Blocked Payment!!!,Spam,Block,Block,1,0,0
blatherin-blatherskite,barracuda-test,Quarantine,Block,1,1,1
swobgyn.com,Allow access per William,Whitelist,Whitelist,1,1,1
转发：PPT精美模板-行政必备,spam,Block,Block,1,0,0
绩效考核,Spam,Block,Block,1,1,1
5、掌握如何才能持续策划出有竞争力的产品的方法,Spam,Block,Block,1,0,0
公司关于五一小长假安排,Spam,Block,Block,1,0,0
5、掌握如何才能持,Spam,Block,Block,1,0,0
